"","people_review","reporter_review","rank_text","rank_link"
"1","7.90","7.58","미나리","https://movie.naver.com//movie/bi/mi/basic.nhn?code=187310"
"2","9.30","6.00","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196051"
"3","9.17","6.20","라야와 마지막 드래곤","https://movie.naver.com//movie/bi/mi/basic.nhn?code=184518"
"4","7.43","4.50","미션 파서블","https://movie.naver.com//movie/bi/mi/basic.nhn?code=189124"
"5","7.07","6.00","리스타트","https://movie.naver.com//movie/bi/mi/basic.nhn?code=182019"
"6","9.29","0.00","반지의 제왕: 반지 원정대","https://movie.naver.com//movie/bi/mi/basic.nhn?code=31794"
"7","9.31","8.44","소울","https://movie.naver.com//movie/bi/mi/basic.nhn?code=184517"
"8","8.93","0.00","중경삼림","https://movie.naver.com//movie/bi/mi/basic.nhn?code=17059"
"9","7.95","5.67","아이 씨 유","https://movie.naver.com//movie/bi/mi/basic.nhn?code=186586"
"10","6.29","5.00","카오스 워킹","https://movie.naver.com//movie/bi/mi/basic.nhn?code=163811"
"11","8.58","6.40","암모나이트","https://movie.naver.com//movie/bi/mi/basic.nhn?code=194830"
"12","8.82","6.67","모리타니안","https://movie.naver.com//movie/bi/mi/basic.nhn?code=193800"
"13","0.00","0.00","고질라 VS. 콩","https://movie.naver.com//movie/bi/mi/basic.nhn?code=191637"
"14","7.76","5.00","웨이 다운","https://movie.naver.com//movie/bi/mi/basic.nhn?code=202361"
"15","0.00","2.00","아수라도","https://movie.naver.com//movie/bi/mi/basic.nhn?code=202352"
"16","6.54","6.50","포제서","https://movie.naver.com//movie/bi/mi/basic.nhn?code=191843"
"17","7.63","5.67","톰과 제리","https://movie.naver.com//movie/bi/mi/basic.nhn?code=193973"
"18","8.43","8.17","허트 로커","https://movie.naver.com//movie/bi/mi/basic.nhn?code=68945"
"19","10.00","7.20","정말 먼 곳","https://movie.naver.com//movie/bi/mi/basic.nhn?code=193043"
"20","7.76","6.33","더 레이서","https://movie.naver.com//movie/bi/mi/basic.nhn?code=197450"
"21","10.00","6.00","파이터","https://movie.naver.com//movie/bi/mi/basic.nhn?code=198306"
"22","9.37","0.00","반지의 제왕: 왕의 귀환","https://movie.naver.com//movie/bi/mi/basic.nhn?code=31796"
"23","9.34","0.00","반지의 제왕: 두 개의 탑","https://movie.naver.com//movie/bi/mi/basic.nhn?code=31795"
"24","8.79","6.00","아이","https://movie.naver.com//movie/bi/mi/basic.nhn?code=194463"
"25","7.50","6.50","퍼펙트 케어","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196533"
"26","8.70","5.50","그녀가 사라졌다","https://movie.naver.com//movie/bi/mi/basic.nhn?code=198627"
"27","8.23","6.33","마리오네트","https://movie.naver.com//movie/bi/mi/basic.nhn?code=197517"
"28","9.22","7.50","러빙 빈센트","https://movie.naver.com//movie/bi/mi/basic.nhn?code=144379"
"29","9.49","5.33","유어 아이즈 텔","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196053"
"30","9.20","0.00","태극기 휘날리며","https://movie.naver.com//movie/bi/mi/basic.nhn?code=36666"
"31","0.00","0.00","스파이의 아내","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196052"
"32","8.50","6.83","빛과 철","https://movie.naver.com//movie/bi/mi/basic.nhn?code=194084"
"33","0.00","0.00","낙원의 밤","https://movie.naver.com//movie/bi/mi/basic.nhn?code=189050"
"34","0.00","0.00","최면","https://movie.naver.com//movie/bi/mi/basic.nhn?code=202526"
"35","8.90","5.50","브레이브 언더 파이어","https://movie.naver.com//movie/bi/mi/basic.nhn?code=202534"
"36","10.00","0.00","아무도 없는 곳","https://movie.naver.com//movie/bi/mi/basic.nhn?code=184366"
"37","0.00","0.00","어른들은 몰라요","https://movie.naver.com//movie/bi/mi/basic.nhn?code=195691"
"38","7.03","5.67","새해전야","https://movie.naver.com//movie/bi/mi/basic.nhn?code=190382"
"39","9.59","7.29","그린 북","https://movie.naver.com//movie/bi/mi/basic.nhn?code=171539"
"40","0.00","0.00","모탈 컴뱃","https://movie.naver.com//movie/bi/mi/basic.nhn?code=202925"
"41","9.33","0.00","랜드","https://movie.naver.com//movie/bi/mi/basic.nhn?code=201219"
"42","9.26","5.75","쁘떼뜨","https://movie.naver.com//movie/bi/mi/basic.nhn?code=191059"
"43","7.99","4.50","검객","https://movie.naver.com//movie/bi/mi/basic.nhn?code=165287"
"44","9.49","6.50","극장판 바이올렛 에버가든","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196843"
"45","10.00","0.00","자산어보","https://movie.naver.com//movie/bi/mi/basic.nhn?code=189075"
"46","7.79","7.08","승리호","https://movie.naver.com//movie/bi/mi/basic.nhn?code=186342"
"47","8.48","9.06","기생충","https://movie.naver.com//movie/bi/mi/basic.nhn?code=161967"
"48","7.96","6.17","라스트 레터","https://movie.naver.com//movie/bi/mi/basic.nhn?code=191553"
"49","5.15","5.67","원더 우먼 1984","https://movie.naver.com//movie/bi/mi/basic.nhn?code=163834"
"50","0.00","0.00","노매드랜드","https://movie.naver.com//movie/bi/mi/basic.nhn?code=196215"
